word1,word2,is_hypernym
physical_entity,sheller,1
deed,contraception,1
abstract_entity,by-election,1
physical_object,extreme_point,1
entity,astrophyton,1
subject_matter,princeton_wordnet,1
substance,cytotoxin,1
creativeness,uncle_remus,1
group,euphractus,1
abstraction,genetic_map,1
group,ovis,1
programme,retirement_account,1
animate_being,tautogolabrus_adspersus,1
worm,eelworm,1
flowering_tree,cherimoya,1
mountain_peak,ararat,1
appearance,linear_perspective,1
entity,shakeout,1
belief,laissez_faire,1
living_thing,asplenium_rhizophyllum,1
physical_entity,american_gentian,1
solfa_syllable,ti,1
philosopher,zeno_of_citium,1
competition,cup_tie,1
signaling,beacon_fire,1
mammal_genus,tachyglossus,1
herb,satureia_montana,1
person,charles_m._schulz,1
leaven,yeast_cake,1
person,cyril_northcote_parkinson,1
abstract_entity,eluding,1
physical_entity,gun_trigger,1
abstraction,game_plan,1
unit,caiman_lizard,1
bony_fish,ribbonfish,1
creation,cutaway_model,1
magnoliopsid_genus,frasera,1
organism,guy_of_burgundy,1
physical_phenomenon,intraocular_pressure,1
individual,northrop,1
individual,new_mexican,1
creature,caretta_caretta,1
social_group,business_sector,1
craniate,mamo,1
physiological_state,cold_sweat,1
entity,professionalisation,1
animate_thing,james_maitland_stewart,1
phanerogam,hymenoxys_acaulis,1
physical_entity,prunus_ilicifolia,1
deed,military_operation,1
abstraction,subjection,1
deed,defection,1
abstract_entity,bigness,1
entity,palaemonidae,1
matter,shit,1
external_body_part,cervix,1
psychological_feature,beep,1
memory_access,disk_access,1
somebody,engineer,1
intellectual,maimonides,1
fruit_tree,caimito,1
human_action,pit_stop,1
class,class_ciliophora,1
taxonomic_group,musophagidae,1
physical_entity,quintuplet,1
physical_entity,transportation_secretary,1
act,instillment,1
mortal,robert_ranke_graves,1
attribute,facial_expression,1
unit,backcloth,1
physical_entity,stunt_flier,1
event,heavy,1
narration,canterbury_tales,1
component,squirrel,1
stream,irrawaddy,1
physical_entity,moonstone,1
transaction,divestiture,1
vertebrate,perca_fluviatilis,1
somebody,walesa,1
creation,pictorial,1
abstraction,kennedya,1
ligneous_plant,tar-wood,1
causal_agent,kalon_tripa,1
zona,zonule,1
causal_agent,louis_xvi,1
entity,land_mine,1
object,hooded_seal,1
artifact,worldly_good,1
being,james_i,1
animate_thing,sarracenia_flava,1
being,descartes,1
social_control,calming,1
abstraction,file_name_extension,1
activity,embolectomy,1
causal_agency,cognitive_scientist,1
perissodactyl_mammal,crowbait,1
whole,pomfret,1
entity,hot_pants,1
assembly,congregation_of_the_inquisition,1
person_of_colour,arawak,1
territorial_division,xinjiang_uighur_autonomous_region,1
taxonomic_category,arabidopsis,1
political_unit,iroquois_league,1
nonflowering_plant,lecanopteris,1
entity,zinzendorf,1
magnoliopsid_family,family_caesalpiniaceae,1
entity,cleanthes,1
beast,asio_otus,1
cephalitis,subacute_sclerosing_panencephalitis,1
entity,common_pepper,1
inflammatory_disease,sore_throat,1
abstract_entity,breaststroke,1
line_of_work,specialty,1
entity,alstonia_scholaris,1
being,edgar_guest,1
rank,thirtieth,1
status,taint,1
biological_group,catha,1
house_cat,tabby_cat,1
cutting_implement,centre_bit,1
vine,wild_climbing_hempweed,1
physical_object,siberian_pea_tree,1
grouping,mucorales,1
geographic_region,wilno,1
wear,norfolk_jacket,1
entity,cryptogam,1
entity,joliet,1
physical_object,herb_doctor,1
physical_entity,mantlepiece,1
act,bar_examination,1
whole,setting,1
event,social_intercourse,1
unit,maja_squinado,1
telephone_wire,telephone_cord,1
unit,acceptor,1
physical_entity,consecutive_operation,1
organization,progressive_party,1
entity,finback_whale,1
living_thing,james_cook,1
physical_object,savannah,1
taxon,melastomaceae,1
organism,platypus,1
tree,western_mountain_ash,1
taxonomic_category,chironomus,1
abstraction,landsmal,1
organism,bottle_tree,1
negotiator,charles,1
form,bauhaus,1
birch_tree,betula_populifolia,1
object,alytes_obstetricans,1
arthropod_family,saturniidae,1
causal_agency,bungler,1
article_of_clothing,breechcloth,1
possession,worldly_goods,1
river,new_river,1
object,podocarpus_totara,1
grouping,youth_culture,1
living_thing,native_american,1
craniate,post_horse,1
geographical_point,rostov_na_donu,1
flora,quercus_texana,1
person_of_color,pushtun,1
exhalation,wind,1
conveyance,rope_tow,1
natural_phenomenon,weather,1
entity,zellig_harris,1
tissue_layer,diaphragm,1
sailor,able-bodied_seaman,1
taxonomic_group,amentiferae,1
entity,rhubarb,1
physical_entity,appendage,1
worship,monolatry,1
feature,enhancer,1
organic_process,read_method,1
physical_entity,diminished_arch,1
entity,clanswoman,1
vapor,sea_spray,1
rich_person,man_of_means,1
object,polls,1
biological_group,genus_zenaidura,1
abstraction,reply,1
object,doorknocker,1
tracheophyte,mahogany_tree,1
biological_group,genus_dermochelys,1
animate_thing,software_engineer,1
artifact,time_capsule,1
clothing,outer_garment,1
soul,tyndall,1
action,metathesis,1
mortal,josef_von_sternberg,1
abstraction,dreaming,1
solid,opal_glass,1
business_enterprise,butchering,1
blood_dyscrasia,hypochromic_anaemia,1
tracheophyte,field_balm,1
being,sultan_of_swat,1
flora,black_moss,1
abstraction,genus_ophiodon,1
machine,sprocket,1
abstraction,ardennes_counteroffensive,1
social_group,department_of_education,1
killing,thuggee,1
consistence,fluffiness,1
individual,pituitary_dwarf,1
fluid,glycerol,1
trauma,lesion,1
plant_part,potato_bean,1
fearfulness,horror,1
abstract_entity,anguidae,1
surgical_process,heart_surgery,1
persona,ingenue,1
taxonomic_category,coracias,1
actuation,tow,1
entity,aspadana,1
physical_entity,internasal_suture,1
act,housekeeping,1
cognition,rama,1
mortal,road_mender,1
cause,otto_fritz_meyerhof,1
business_enterprise,touristry,1
being,eriosoma_lanigerum,1
artefact,staplegun,1
food,rugelach,1
aggregation,perfect_participle,1
plant_life,kaffir_corn,1
causal_agent,brioschi,1
astronomer,claudius_ptolemaeus,1
style,prose,1
trained_worker,cavalryman,1
cognition,rule_of_thumb,1
representational_process,oriflamme,1
unit,french_horn,1
being,japanese_medlar,1
micro-organism,actinomyces,1
cognitive_content,jus_soli,1
thought,bohr_theory,1
part,sisal,1
weather,line_squall,1
shape,element_of_a_cylinder,1
victuals,lobster_stew,1
abstraction,indistinguishability,1
iridaceous_plant,saffron_crocus,1
persona_non_grata,pesterer,1
abstract_entity,genus_endamoeba,1
whole,flatcar,1
diabetes_mellitus,ketoacidosis-prone_diabetes,1
state_of_mind,forgetfulness,1
physical_entity,dwarf_juniper,1
object,existence,1
matter,guinea_gold,1
unit,freesia,1
abstract_entity,family_edaphosauridae,1
living_thing,bulbous_plant,1
object,paparazzo,1
entity,interest_group,1
shape,rilievo,1
organism,pinus_palustris,1
group,genus_arctictis,1
entity,telpher,1
whole,eugene_victor_debs,1
neurological_disease,transcortical_aphasia,1
magnoliopsid_genus,ligularia,1
entity,science_laboratory,1
physical_object,brasov,1
commendation,fulsomeness,1
abstract_entity,mlitt,1
communication,pop_quiz,1
physical_entity,syrian_bean_caper,1
physical_entity,cytosol,1
warfare,korean_war,1
whole,mycobacterium_tuberculosis,1
exchange,forward_market,1
solid_ground,aruba,1
anti-inflammatory,toradol,1
physical_object,buttonhook,1
individual,botticelli,1
unit_of_measurement,lm,1
deed,noblesse_oblige,1
entity,hepatic_lobe,1
stage,extent,1
object,playpen,1
physical_object,reproductive_cell,1
communication,prayer_of_azariah_and_song_of_the_three_children,1
goose,chen_caerulescens,1
flora,tall_buttercup,1
abstraction,ransacking,1
arrangement,visible_spectrum,1
entity,cheilitis,1
fungus,agaricus_campestris,1
relation,logical_implication,1
causal_agency,culprit,1
centre,inner_city,1
entity,ctc,1
tracheophyte,marjoram,1
living_thing,larus_ridibundus,1
covering_material,fibreglass,1
brute,shorttail_weasel,1
artifact,mountain_trail,1
artifact,veil,1
taxon,genus_hudsonia,1
uncloudedness,transparentness,1
instrumentation,turbine,1
instrumentation,gunsight,1
animal_tissue,cutis,1
structure,shipping_office,1
grapheme,initial,1
control,indexation,1
polygon,quadrate,1
beast,arctic_hare,1
causal_agency,pamelor,1
taxon,genus_staphylea,1
ending,explosion,1
physical_entity,vol-au-vent,1
animate_thing,wilhelm_richard_wagner,1
physical_entity,mattock,1
someone,dhegiha,1
entity,advent_sunday,1
abstract_entity,middle_ages,1
entity,jarvik_heart,1
boat,skiff,1
unit,frontstall,1
evidence,spastic_colon,1
taxon,calliophis,1
action,mineral_processing,1
social_event,athletic_contest,1
assembly,quarter_sessions,1
flora,matricaria_inodorum,1
inelasticity,inflexibility,1
mammalian,kogia_simus,1
appellation,nickname,1
abstract_entity,oriya,1
being,boykinia_elata,1
executive_department,doi,1
vascular_plant,liliopsid,1
matter,spanish_rice,1
percoid,pumpkinseed,1
geographical_point,al_ladhiqiyah,1
living_thing,calixtus_iii,1
physical_object,stunt_woman,1
angiosperm,tufted_gentian,1
someone,double-crosser,1
pathological_state,compound_fracture,1
physical_object,refinery,1
content,bogy,1
physical_object,isthmus_of_suez,1
bush,aristotelia_serrata,1
physical_entity,black-footed_ferret,1
attribute,vindictiveness,1
herbaceous_plant,yellow_vetchling,1
being,european_cuckoo,1
psychological_feature,mother_goose,1
entity,macrame,1
condition,varicocele,1
auger,trap-and-drain_auger,1
black_and_white,internet_explorer,1
abstraction,turn_of_phrase,1
causal_agent,charles_percy_snow,1
audio,phonograph_record,1
domestic_dog,lhasa_apso,1
written_communication,paper,1
abstraction,adversative_conjunction,1
entity,labyrinthine_vein,1
human_activity,disqualification,1
animate_thing,shaheed,1
living_thing,humourist,1
structure,car_door,1
substance,dacite,1
entity,gift_wrapping,1
sailor,selcraig,1
health_problem,esophageal_reflux,1
abstract_entity,genus_ardea,1
group,lashkar-e-taiba,1
flora,immortelle,1
skilled_worker,pilate,1
abstraction,pressure_point,1
rise,crime_wave,1
measure,short_hundredweight,1
artifact,jinrikisha,1
abstraction,malacothamnus,1
smoker,bachelor_party,1
human_action,loose_end,1
swift,swiftlet,1
whole,thimbleweed,1
measure,sudanese_pound,1
object,umbrella_tent,1
drug,methadone,1
activity,surgical_procedure,1
durables,icebox,1
abstract_entity,namtaru,1
actor,steve_martin,1
human_action,petition,1
dominion,den_haag,1
happening,stream,1
medicament,clot_buster,1
physical_object,foster,1
physical_entity,placentation,1
physical_entity,duke_of_marlborough,1
body_process,goose_pimple,1
vessel,water_heater,1
group,cryptocercidae,1
relation,extremely_low_frequency,1
entity,michaelmastide,1
entity,heat,1
abstract_entity,helodermatidae,1
portion,stainless_steel,1
dictyopterous_insect,mantid,1
abstract_entity,radiancy,1
deed,demonetisation,1
unit,bamboo_palm,1
connexion,scarf_joint,1
biological_group,family_dugongidae,1
human_action,diatribe,1
mortal,jafar_umar_thalib,1
scientist,bertram_brockhouse,1
auditory_communication,hymn,1
information_measure,information,1
bush,viburnum_recognitum,1
artefact,nasotracheal_tube,1
physical_object,necklace_poplar,1
stem,funicle,1
abstract_entity,tss,1
whole,spathiphyllum,1
line,trend_line,1
bread,cracked-wheat_bread,1
group,hyalophora,1
natural_language,medieval_greek,1
beast,ginglymostoma_cirratum,1
object,coragyps_atratus,1
fern_genus,genus_polybotria,1
organic_process,straightness,1
unit,flowering_spurge,1
function,arccos,1
piece,genitals,1
organization,ad_agency,1
abstract_entity,artificiality,1
someone,lord_high_chancellor,1
curve,bell_shape,1
synthetic_resin,lucite,1
group,pluperfect,1
ruminant,mountain_goat,1
piece_of_music,duo,1
woody_plant,yellow_oak,1
grouping,baphia,1
allotment,addiction,1
genus,genus_thelypteris,1
substance,drixoral,1
physical_entity,new_zealand_cotton,1
airplane_landing,emergency_landing,1
abstract_entity,illogicalness,1
dish,egg_foo_yong,1
object,contemporary,1
entity,louisiana,1
geographical_area,capital_of_papua_new_guinea,1
taxonomic_category,family_arcidae,1
organism,stellaria_holostea,1
state,inherited_wealth,1
entity,swage,1
status,mare's_nest,1
plant_life,chloroxylon_swietenia,1
cognition,canonical_hour,1
paper,cigarette_paper,1
unit,saint_brigid,1
flora,italian_rye,1
abstraction,respiratory_tract_infection,1
ataractic_agent,loxitane,1
taxon,dermatobia,1
biological_group,genus_dieffenbachia,1
portion,tremolite,1
abstraction,ineffectiveness,1
mineral,carnotite,1
cause,sedative-hypnotic_drug,1
physical_entity,molise,1
organism,hygrophorus_turundus,1
individual,tharp,1
written_communication,amos,1
staff_of_life,hallah,1
abstraction,ordinary_shares,1
unit,american_germander,1
cognitive_content,schottische,1
biological_group,genus_ardea,1
taxonomic_category,centropomus,1
information,hearsay_evidence,1
noesis,natural_ability,1
territorial_dominion,kan.,1
military_action,lule_burgas,1
knowledge,geography,1
being,common_basil,1
occurrent,milestone,1
region,sanctuary,1
physical_process,ecological_succession,1
taxonomic_category,medinilla,1
animate_being,hungarian_pointer,1
abstract_entity,sightedness,1
entity,order_isoetales,1
plant,carpetweed,1
abstraction,dressed_ore,1
pathological_state,cross_infection,1
organism,forsythia,1
taxonomic_category,milkwort_family,1
subdivision,book_of_ezekiel,1
animate_being,richardson_vole,1
whole,dogwood,1
plant,ceroxylon_andicola,1
taxonomic_category,family_ericaceae,1
biological_group,carcharodon,1
someone,robert_macgregor,1
impotence,insipidity,1
electronic_device,screen_background,1
physical_object,water_trumpet,1
grouping,panthera,1
organism,agrippina_the_younger,1
functionary,mace,1
organism,charlotte_bronte,1
grouping,descendants,1
constituent,alexandrite,1
mortal,pettifogger,1
